Type;POS;Headword;Rank;Freq_Tar;Freq_Ref;Range_Tar;Range_Ref;NormFreq_Tar;NormFreq_Ref;NormRange_Tar;NormRange_Ref;Keyness (Likelihood);Keyness (Effect);BOP Term;Further remark;;;
instrument;None;None;132;596;0;27;0;396.628;0.000;0.711;0.000;27.449;0.001;n;;;;
instruments;None;None;89;875;0;29;0;582.297;0.000;0.763;0.000;40.302;0.001;n;;;;
insurance;None;None;17;2558;0;26;0;1702.304;0.000;0.684;0.000;117.884;0.003;y;;;;
interest;None;None;23;2070;0;25;0;1377.549;0.000;0.658;0.000;95.379;0.003;n;Relevant when discussing residence;;;
international;None;None;104;787;0;37;0;523.735;0.000;0.974;0.000;36.247;0.001;n;;;;
investor;None;None;160;495;0;20;0;329.414;0.000;0.526;0.000;22.796;0.001;n;fdi context;;;
investors;None;None;220;310;0;23;0;206.300;0.000;0.605;0.000;14.276;0.000;n;;;;
item;None;None;82;912;0;23;0;606.920;0.000;0.605;0.000;42.006;0.001;n;;;;
items;None;None;66;1048;0;21;0;697.426;0.000;0.553;0.000;48.272;0.001;n;;;;
lending;None;None;206;342;0;24;0;227.595;0.000;0.632;0.000;15.749;0.000;n;;;;
level;None;None;92;837;0;28;0;557.009;0.000;0.737;0.000;38.551;0.001;n;;;;
liabilities;None;None;18;2542;0;31;0;1691.657;0.000;0.816;0.000;117.146;0.003;y;;;;
liability;None;None;100;805;0;28;0;535.713;0.000;0.737;0.000;37.077;0.001;y;;;;
list;None;None;219;316;0;20;0;210.292;0.000;0.526;0.000;14.552;0.000;n;;;;
loans;None;None;73;993;0;28;0;660.824;0.000;0.737;0.000;45.738;0.001;y;;;;
manual;None;None;203;347;0;30;0;230.922;0.000;0.789;0.000;15.980;0.000;n;;;;
market;None;None;29;1843;0;28;0;1226.484;0.000;0.737;0.000;84.914;0.002;n;;;;
markets;None;None;204;345;0;28;0;229.591;0.000;0.737;0.000;15.888;0.000;n;;;;
maturity;None;None;190;396;0;23;0;263.531;0.000;0.605;0.000;18.236;0.001;n;property of a loan ;;;
member;None;None;131;602;0;22;0;400.620;0.000;0.579;0.000;27.725;0.001;n;;;;
merchandise;None;None;208;339;0;20;0;225.599;0.000;0.526;0.000;15.611;0.000;y;see general ~ and IMTS (international merchandise trade statistics) => Cluster 13;;;
methods;None;None;187;407;0;23;0;270.851;0.000;0.605;0.000;18.743;0.001;n;;;;
money;None;None;185;410;0;27;0;272.848;0.000;0.711;0.000;18.881;0.001;n;;;;
national;None;None;160;495;0;29;0;329.414;0.000;0.763;0.000;22.796;0.001;n;;;;
nature;None;None;218;318;0;21;0;211.623;0.000;0.553;0.000;14.644;0.000;n;;;;
non;None;None;156;517;0;25;0;344.054;0.000;0.658;0.000;23.810;0.001;n;;;;
number;None;None;95;820;0;31;0;545.696;0.000;0.816;0.000;37.768;0.001;n;;;;
order;None;None;141;550;0;27;0;366.015;0.000;0.711;0.000;25.330;0.001;n;;;;
ownership;None;None;56;1219;0;29;0;811.223;0.000;0.763;0.000;56.152;0.002;n;;;;
parent;None;None;176;455;0;20;0;302.795;0.000;0.526;0.000;20.954;0.001;n;see foreign affiliate, Cluster 3;;;
part;None;None;60;1178;0;31;0;783.938;0.000;0.816;0.000;54.263;0.002;n;;;;
payment;None;None;116;706;0;20;0;469.831;0.000;0.526;0.000;32.516;0.001;n;;;;
pension;None;None;58;1192;0;25;0;793.255;0.000;0.658;0.000;54.908;0.002;n;;;;
period;None;None;33;1716;0;28;0;1141.968;0.000;0.737;0.000;79.059;0.002;n;;;;
periods;None;None;207;340;0;21;0;226.264;0.000;0.553;0.000;15.657;0.000;n;;;;
place;None;None;170;468;0;27;0;311.446;0.000;0.711;0.000;21.553;0.001;n;;;;
point;None;None;217;322;0;20;0;214.285;0.000;0.526;0.000;14.828;0.000;n;;;;
policy;None;None;166;475;0;20;0;316.104;0.000;0.526;0.000;21.875;0.001;n;;;;
portfolio;None;None;83;898;0;30;0;597.603;0.000;0.789;0.000;41.361;0.001;n;;;;
position;None;None;90;866;0;32;0;576.308;0.000;0.842;0.000;39.887;0.001;n;;;;
positions;None;None;45;1401;0;29;0;932.341;0.000;0.763;0.000;64.540;0.002;n;;;;
practice;None;None;186;409;0;20;0;272.182;0.000;0.526;0.000;18.835;0.001;n;;;;
presentation;None;None;177;448;0;27;0;298.136;0.000;0.711;0.000;20.631;0.001;n;;;;
price;None;None;35;1646;0;21;0;1095.384;0.000;0.553;0.000;75.832;0.002;n;;;;
principle;None;None;151;533;0;27;0;354.702;0.000;0.711;0.000;24.547;0.001;n;;;;
process;None;None;182;416;0;23;0;276.841;0.000;0.605;0.000;19.158;0.001;n;;;;
processing;None;None;216;328;0;21;0;218.278;0.000;0.553;0.000;15.105;0.000;n;;;;
production;None;None;25;2025;0;28;0;1347.602;0.000;0.737;0.000;93.305;0.003;n;;;;
property;None;None;139;553;0;22;0;368.012;0.000;0.579;0.000;25.468;0.001;n;;;;
provision;None;None;211;338;0;20;0;224.933;0.000;0.526;0.000;15.565;0.000;n;A kind of operation. ~ of + economic value : phraseology;;;
purpose;None;None;165;479;0;22;0;318.766;0.000;0.579;0.000;22.059;0.001;n;;;;
purposes;None;None;118;673;0;25;0;447.870;0.000;0.658;0.000;30.996;0.001;n;;;;
quality;None;None;134;576;0;25;0;383.318;0.000;0.658;0.000;26.527;0.001;n;;;;
rate;None;None;61;1115;0;23;0;742.013;0.000;0.605;0.000;51.360;0.001;n;;;;
receipts;None;None;199;364;0;20;0;242.236;0.000;0.526;0.000;16.763;0.000;n;A kind of operation. Opposite: payments. See also: [account] payable and [account] receivable;;;
recording;None;None;147;540;0;21;0;359.361;0.000;0.553;0.000;24.869;0.001;n;A kind of statistical operation;;;
reference;None;None;98;815;0;31;0;542.368;0.000;0.816;0.000;37.537;0.001;n;;;;
relationship;None;None;175;457;0;23;0;304.126;0.000;0.605;0.000;21.046;0.001;n;;;;
reporting;None;None;108;745;0;23;0;495.785;0.000;0.605;0.000;34.312;0.001;n;;;;
reserve;None;None;79;931;0;23;0;619.564;0.000;0.605;0.000;42.882;0.001;n;;;;
reserves;None;None;120;672;0;22;0;447.204;0.000;0.579;0.000;30.950;0.001;n;;;;
residence;None;None;135;560;0;20;0;372.670;0.000;0.526;0.000;25.790;0.001;y;;;;
resident;None;None;153;526;0;22;0;350.044;0.000;0.579;0.000;24.224;0.001;y;;;;
residents;None;None;31;1821;0;31;0;1211.844;0.000;0.816;0.000;83.899;0.002;y;;;;
rest;None;None;167;471;0;24;0;313.442;0.000;0.632;0.000;21.691;0.001;n;;;;
result;None;None;196;368;0;22;0;244.898;0.000;0.579;0.000;16.947;0.000;n;;;;
